DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 21.01.2026 18:14:43
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 22.01.2026 08:42:50
DEBUG | Firma: 116 | Raw TFS Count: 111 | Period: 1m | Time: 23.01.2026 18:04:43
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:16:09
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:17:37
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:22:08
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:24:40
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:24:44
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:25:27
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 3m | Time: 26.01.2026 16:25:31
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:25:34
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:26:59
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:28:18
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:31:53
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 16:32:01
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 17:02:30
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 17:07:09
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 1m | Time: 26.01.2026 17:07:20
DEBUG | Firma: 143 | Raw TFS Count: 135 | Period: 3m | Time: 26.01.2026 17:07:41
DEBUG | Firma: 196 | Raw TFS Count: 321 | Period: 1m | Time: 27.01.2026 14:03:01
